epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.5709,0,51.7621,0,0,0,0,0,0,81.0907,0,0.000651515,0.000651515,0.000651515
2,147.831,0,39.0455,0,0,0,0,0,0,50.598,0,0.00129208,0.00129208,0.00129208
3,222.867,0,32.6828,0,0,0,0,0,0,39.3633,0,0.00190625,0.00190625,0.00190625
4,297.797,0,27.5871,0,0,0,0,0,0,101.314,0,0.0018812,0.0018812,0.0018812
5,370.885,0,23.1925,0,0,0,0,0,0,30.611,0,0.0018416,0.0018416,0.0018416
6,444.046,0,19.3611,0,0,0,0,0,0,24.016,0,0.001802,0.001802,0.001802
