epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.8246,1.60175,3.52373,1.37736,0.00341,0.96739,0.43913,0.17877,1.28118,3.51494,1.11594,0.000651515,0.000651515,0.000651515
2,149.138,1.62772,2.74153,1.34698,0.66898,0.6151,0.61739,0.28619,1.63628,2.80382,1.3409,0.00118768,0.00118768,0.00118768
3,222.571,1.60787,2.4438,1.40658,0.7141,0.66304,0.73121,0.37913,1.56553,2.07119,1.43617,0.00159185,0.00159185,0.00159185
4,296.242,1.5752,2.21244,1.42757,0.77654,0.75546,0.82671,0.42375,1.53549,1.85663,1.4033,0.001406,0.001406,0.001406
5,371.237,1.53223,1.99323,1.363,0.74875,0.82609,0.87029,0.50187,1.4098,1.67223,1.31532,0.001208,0.001208,0.001208
6,447.661,1.48257,1.80887,1.34111,0.86478,0.76466,0.88089,0.46998,1.44107,1.53645,1.31794,0.00101,0.00101,0.00101
7,526.148,1.46788,1.69326,1.33012,0.88688,0.76087,0.88706,0.49988,1.35179,1.46093,1.26403,0.000812,0.000812,0.000812
8,602.988,1.42038,1.5206,1.26732,0.89493,0.88043,0.93329,0.55162,1.34757,1.32475,1.26123,0.000614,0.000614,0.000614
9,678.501,1.36815,1.39177,1.24047,0.90996,0.88043,0.93169,0.54508,1.29652,1.24534,1.23251,0.000416,0.000416,0.000416
10,751.464,1.32332,1.34676,1.23592,0.91108,0.89099,0.93993,0.57029,1.27801,1.21809,1.21435,0.000218,0.000218,0.000218
